DNR_ID,site,date,sizeRange,count
62_0002,207,2020-08-18,67_99,8
62_0002,207,2020-09-04,67_99,2
62_0002,207,2020-09-24,67_99,18
62_0047,201,2020-04-15,67_99,0
62_0047,201,2020-05-05,67_99,0
62_0047,201,2020-05-20,67_99,2
62_0047,201,2020-06-11,67_99,44
62_0047,201,2020-07-01,67_99,0
62_0047,201,2020-07-23,67_99,9
62_0047,201,2020-08-06,67_99,1
62_0047,201,2020-08-26,67_99,40
62_0047,201,2020-09-11,67_99,10
62_0047,201,2020-10-09,67_99,25
62_0054,101,2020-07-17,67_99,3
62_0054,101,2020-04-13,67_99,0
62_0054,101,2020-05-04,67_99,1
62_0054,101,2020-05-18,67_99,22
62_0054,101,2020-06-10,67_99,1
62_0054,101,2020-06-25,67_99,0
62_0054,101,2020-08-05,67_99,4
62_0054,101,2020-08-20,67_99,0
62_0054,101,2020-09-10,67_99,5
62_0054,101,2020-10-08,67_99,4
62_0055,201,2020-04-10,67_99,0
62_0055,201,2020-05-01,67_99,0
62_0055,201,2020-05-17,67_99,5
62_0055,201,2020-05-21,67_99,6
62_0055,201,2020-05-26,67_99,0
62_0055,201,2020-06-26,67_99,6
62_0055,201,2020-07-14,67_99,1
62_0055,201,2020-08-03,67_99,0
62_0055,201,2020-08-20,67_99,9
62_0055,201,2020-09-06,67_99,10
62_0055,201,2020-09-09,67_99,2
62_0055,201,2020-10-05,67_99,5
62_0055,201,2020-10-23,67_99,4
62_0057,401,2020-05-07,67_99,6
62_0057,401,2020-06-02,67_99,5
62_0057,401,2020-06-15,67_99,6
62_0057,401,2020-07-02,67_99,2
62_0057,401,2020-07-22,67_99,7
62_0057,401,2020-08-07,67_99,2
62_0057,401,2020-08-27,67_99,16
62_0057,401,2020-09-17,67_99,21
62_0061,208,2020-05-08,67_99,9
62_0061,208,2020-05-28,67_99,15
62_0061,208,2020-06-16,67_99,17
62_0061,208,2020-07-06,67_99,27
62_0061,208,2020-07-24,67_99,3
62_0061,208,2020-08-12,67_99,6
62_0061,208,2020-09-02,67_99,0
62_0061,208,2020-09-15,67_99,4
62_0067,202,2020-05-27,67_99,24
62_0067,202,2020-06-12,67_99,3
62_0067,202,2020-06-29,67_99,17
62_0067,202,2020-07-21,67_99,6
62_0067,202,2020-08-10,67_99,9
62_0067,202,2020-08-22,67_99,2
62_0067,202,2020-09-17,67_99,23
62_0067,202,2020-05-06,67_99,21
62_0075,202,2020-05-08,67_99,6
62_0075,202,2020-05-28,67_99,2
62_0075,202,2020-06-16,67_99,3
62_0075,202,2020-07-06,67_99,3
62_0075,202,2020-07-24,67_99,0
62_0075,202,2020-08-12,67_99,0
62_0075,202,2020-09-02,67_99,6
62_0075,202,2020-09-15,67_99,10
62_0078,101,2020-05-06,67_99,58
62_0078,101,2020-05-27,67_99,12
62_0078,101,2020-06-15,67_99,7
62_0078,101,2020-07-02,67_99,18
62_0078,101,2020-07-22,67_99,7
62_0078,101,2020-08-07,67_99,0
62_0078,101,2020-08-27,67_99,0
62_0078,101,2020-09-17,67_99,3
62_0083,204,2020-05-06,67_99,1
62_0083,204,2020-05-27,67_99,4
62_0083,204,2020-06-12,67_99,22
62_0083,204,2020-07-21,67_99,19
62_0083,204,2020-08-10,67_99,0
62_0083,204,2020-08-24,67_99,0
62_0083,204,2020-09-14,67_99,1
62_0083,204,2020-06-29,67_99,19
62_0225,201,2020-04-15,67_99,1
62_0225,201,2020-05-05,67_99,0
62_0225,201,2020-05-20,67_99,1
62_0225,201,2020-06-11,67_99,44
62_0225,201,2020-07-01,67_99,3
62_0225,201,2020-07-23,67_99,13
62_0225,201,2020-08-06,67_99,2
62_0225,201,2020-08-26,67_99,8
62_0225,201,2020-09-11,67_99,2
62_0225,201,2020-10-09,67_99,32
62_0231,201,2020-04-13,67_99,0
62_0231,201,2020-05-04,67_99,0
62_0231,201,2020-05-18,67_99,10
62_0231,201,2020-06-10,67_99,19
62_0231,201,2020-06-26,67_99,3
